City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2021-03-14 22:49:11,-21.2,-175.2,84.2,70,75,5.75
1,Sao Filipe,CV,2021-03-14 22:48:58,14.8961,-24.4956,71.13,71,0,4.54
2,Beringovskiy,RU,2021-03-14 22:46:21,63.05,179.3167,11.89,86,98,9.19
3,Ribeira Grande,PT,2021-03-14 22:49:12,38.5167,-28.7,60.8,100,40,6.91
4,Arraial Do Cabo,BR,2021-03-14 22:49:12,-22.9661,-42.0278,77.81,83,14,15.82
5,Atuona,PF,2021-03-14 22:49:12,-9.8,-139.0333,80.19,68,41,11.52
6,Port Shepstone,ZA,2021-03-14 22:47:29,-30.7414,30.455,74.68,88,67,12.46
7,Doha,QA,2021-03-14 22:49:13,25.2867,51.5333,61.0,72,0,3.44
8,Kapaa,US,2021-03-14 22:45:50,22.0752,-159.319,73.4,78,75,23.02
9,Alexandria,EG,2021-03-14 22:48:30,31.2156,29.9553,59.0,82,40,6.91
10,Jamestown,US,2021-03-14 22:49:14,42.097,-79.2353,30.99,47,1,15.52
11,Tevaitoa,PF,2021-03-14 22:49:14,-16.7833,-151.5,83.1,73,85,11.9
12,Kahului,US,2021-03-14 22:47:58,20.8947,-156.47,75.99,64,20,13.8
13,Hobart,AU,2021-03-14 22:45:04,-42.8794,147.3294,66.99,55,40,8.05
14,Hermanus,ZA,2021-03-14 22:46:30,-34.4187,19.2345,64.99,94,97,8.75
15,Yar-Sale,RU,2021-03-14 22:49:15,66.8333,70.8333,4.5,90,86,4.63
16,Kapuskasing,CA,2021-03-14 22:49:16,49.4169,-82.4331,14.0,41,100,13.8
17,Gizo,SB,2021-03-14 22:49:16,-8.103,156.8419,83.66,70,47,6.96
18,Albany,US,2021-03-14 22:48:30,42.6001,-73.9662,30.0,24,65,4.0
19,Airai,TL,2021-03-14 22:49:17,-8.9266,125.4092,63.14,84,100,1.34
20,Severo-Kurilsk,RU,2021-03-14 22:48:00,50.6789,156.125,33.57,77,0,4.36
21,Singkang,MY,2021-03-14 22:49:17,2.1006,102.7994,78.8,83,20,5.75
22,Nikolskoye,RU,2021-03-14 22:46:10,59.7035,30.7861,37.4,87,90,4.47
23,La Palma,US,2021-03-14 22:49:18,33.8464,-118.0467,64.0,72,40,12.66
24,Ushuaia,AR,2021-03-14 22:49:18,-54.8,-68.3,53.6,50,75,12.66
25,Puerto Ayora,EC,2021-03-14 22:49:20,-0.7393,-90.3518,82.4,74,40,9.22
26,Notre-Dame-Du-Lac,CA,2021-03-14 22:49:20,47.6136,-68.7964,15.8,53,98,10.36
27,Saqqez,IR,2021-03-14 22:49:21,36.2499,46.2735,39.79,72,100,0.78
28,Nantucket,US,2021-03-14 22:48:38,41.2835,-70.0995,33.8,86,75,17.27
29,Esperance,AU,2021-03-14 22:49:22,-33.8667,121.9,51.8,82,36,8.05
30,Nanortalik,GL,2021-03-14 22:49:22,60.1432,-45.2371,30.51,82,100,9.91
31,Rikitea,PF,2021-03-14 22:47:55,-23.1203,-134.9692,80.87,76,18,13.15
32,Kodiak,US,2021-03-14 22:49:23,57.79,-152.4072,35.6,64,90,25.32
33,Punta Arenas,CL,2021-03-14 22:49:23,-53.15,-70.9167,48.2,76,0,12.66
34,The Pas,CA,2021-03-14 22:44:34,53.8251,-101.2541,35.6,60,75,25.32
35,Clyde River,CA,2021-03-14 22:49:24,70.4692,-68.5914,-9.4,84,1,23.02
36,Bluff,NZ,2021-03-14 22:49:24,-46.6,168.3333,58.66,83,100,11.52
37,Hilo,US,2021-03-14 22:46:57,19.7297,-155.09,75.2,83,90,13.8
38,Kapit,MY,2021-03-14 22:49:25,2.0167,112.9333,72.95,99,97,1.05
39,Butaritari,KI,2021-03-14 22:49:25,3.0707,172.7902,81.16,80,18,15.32
40,Soyo,AO,2021-03-14 22:49:26,-6.1349,12.3689,80.53,79,83,7.02
41,Castro,BR,2021-03-14 22:49:26,-24.7911,-50.0119,65.68,83,4,1.52
42,Kaitangata,NZ,2021-03-14 22:49:26,-46.2817,169.8464,63.0,62,100,1.99
43,Salalah,OM,2021-03-14 22:48:45,17.0151,54.0924,73.4,56,0,4.61
44,Hithadhoo,MV,2021-03-14 22:49:27,-0.6,73.0833,84.09,64,97,7.23
45,Galveston,US,2021-03-14 22:49:28,29.3669,-94.9669,71.01,83,90,17.27
46,Upernavik,GL,2021-03-14 22:49:28,72.7868,-56.1549,-3.73,99,100,6.26
47,Torbat-E Jam,IR,2021-03-14 22:49:28,35.244,60.6225,36.7,54,100,1.19
48,Saint-Philippe,RE,2021-03-14 22:49:29,-21.3585,55.7679,78.8,78,0,16.11
49,Alyangula,AU,2021-03-14 22:49:29,-13.8483,136.4192,80.6,94,45,2.98
50,Tasiilaq,GL,2021-03-14 22:49:30,65.6145,-37.6368,24.8,68,90,23.02
51,Fortuna,US,2021-03-14 22:49:02,40.5982,-124.1573,44.01,92,100,4.0
52,Solnechnyy,RU,2021-03-14 22:49:30,50.7214,136.6319,28.42,79,46,8.14
53,Minbu,MM,2021-03-14 22:49:31,20.1833,94.8833,70.48,45,69,1.41
54,Tiksi,RU,2021-03-14 22:47:33,71.6872,128.8694,3.54,86,100,4.83
55,Beloha,MG,2021-03-14 22:46:47,-25.1667,45.05,72.55,79,1,13.15
56,Chuy,UY,2021-03-14 22:46:45,-33.6971,-53.4616,64.53,78,0,6.42
57,Georgetown,MY,2021-03-14 22:45:10,5.4112,100.3354,78.8,83,20,5.75
58,Ames,US,2021-03-14 22:49:32,42.0347,-93.6199,44.6,57,90,14.97
59,Touros,BR,2021-03-14 22:45:10,-5.1989,-35.4608,80.6,74,20,9.22
60,Akyab,MM,2021-03-14 22:46:10,20.15,92.9,70.48,53,3,6.62
61,Avarua,CK,2021-03-14 22:49:33,-21.2078,-159.775,86.0,74,20,12.66
62,Quesnel,CA,2021-03-14 22:45:02,52.9999,-122.5029,51.8,35,90,14.97
63,Margate,GB,2021-03-14 22:49:34,51.3813,1.3862,46.99,77,96,3.0
64,Busselton,AU,2021-03-14 22:49:34,-33.65,115.3333,57.99,73,27,3.0
65,San Quintin,MX,2021-03-14 22:46:16,30.4833,-115.95,58.44,67,2,18.95
66,East London,ZA,2021-03-14 22:49:35,-33.0153,27.9116,73.36,84,80,8.5
67,Kavieng,PG,2021-03-14 22:49:35,-2.5744,150.7967,83.17,67,89,3.2
68,Qaanaaq,GL,2021-03-14 22:47:19,77.484,-69.3632,-5.1,63,100,5.01
69,Provideniya,RU,2021-03-14 22:49:36,64.3833,-173.3,24.13,94,100,9.46
70,Mataura,NZ,2021-03-14 22:49:36,-46.1927,168.8643,57.07,77,100,6.04
71,Rawson,AR,2021-03-14 22:49:36,-43.3002,-65.1023,64.6,63,77,19.17
72,Sibut,CF,2021-03-14 22:49:37,5.718,19.0739,76.93,70,100,3.53
73,Port Alfred,ZA,2021-03-14 22:47:29,-33.5906,26.891,69.01,96,95,7.0
74,Toronto,CA,2021-03-14 22:47:44,43.7001,-79.4163,30.2,40,0,17.78
75,Narbonne,FR,2021-03-14 22:49:38,43.0833,2.8333,48.99,66,7,8.01
76,Mar Del Plata,AR,2021-03-14 22:49:39,-38.0023,-57.5575,70.0,88,0,11.5
77,Longyearbyen,SJ,2021-03-14 22:49:39,78.2186,15.6401,-2.2,65,20,10.36
78,Kontagora,NG,2021-03-14 22:49:40,10.3999,5.4695,83.91,19,89,3.04
79,Khatanga,RU,2021-03-14 22:49:40,71.9667,102.5,-19.95,95,100,10.76
80,Mount Isa,AU,2021-03-14 22:49:41,-20.7333,139.5,71.6,73,90,11.5
81,New Norfolk,AU,2021-03-14 22:49:41,-42.7826,147.0587,66.99,57,92,4.0
82,Torbay,CA,2021-03-14 22:47:59,47.6666,-52.7314,28.99,74,90,4.61
83,Grindavik,IS,2021-03-14 22:49:41,63.8424,-22.4338,37.4,87,75,11.5
84,Sao Caetano De Odivelas,BR,2021-03-14 22:49:42,-0.75,-48.02,76.3,90,58,4.52
85,Victoria,HK,2021-03-14 22:49:42,22.2855,114.1577,69.01,84,93,1.99
86,Lodingen,NO,2021-03-14 22:49:43,68.414,15.9951,35.6,93,90,8.05
87,Tombouctou,ML,2021-03-14 22:49:43,20.0,-3.0,74.05,28,0,8.52
88,Thompson,CA,2021-03-14 22:49:44,55.7435,-97.8558,24.8,36,75,9.22
89,San Cristobal,VE,2021-03-14 22:47:05,7.7669,-72.225,80.6,65,75,4.61
90,Medea,DZ,2021-03-14 22:49:44,36.2642,2.7539,48.2,87,20,2.08
91,Jaipur,IN,2021-03-14 22:49:45,26.9167,75.8167,75.2,35,20,8.05
92,Ponta Do Sol,PT,2021-03-14 22:49:45,32.6667,-17.1,57.0,65,100,3.0
93,Saint George,US,2021-03-14 22:45:10,37.1041,-113.5841,64.0,35,1,16.11
94,Campbell River,CA,2021-03-14 22:45:10,50.0163,-125.2446,39.2,75,75,11.5
95,Mana,GF,2021-03-14 22:49:46,5.6592,-53.7767,76.86,87,100,8.3
96,Cidreira,BR,2021-03-14 22:47:05,-30.1811,-50.2056,73.69,85,22,9.33
97,Lagoa,PT,2021-03-14 22:48:07,39.05,-27.9833,59.74,91,24,14.03
